Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Compass
352,2024-04-28 00:45:56.363807,13.503078188538334,145.21970337285404,32.9,29.9,992.8,353.5
353,2024-04-28 00:45:56.409493,13.501410410123432,145.22097626057234,32.9,29.9,992.8,353.5
353,2024-04-28 00:45:57.431938,13.448997656454464,145.2609657840198,33.1,29.9,992.8,353.5
354,2024-04-28 00:45:57.452659,13.44792889733469,145.26178095433946,33.1,29.9,992.8,353.5
354,2024-04-28 00:45:58.473690,13.396732902908326,145.30081714026102,33.0,30.1,992.8,353.5
355,2024-04-28 00:45:58.492477,13.395727187923836,145.30158374152697,33.0,30.1,992.8,353.5
355,2024-04-28 00:45:59.514152,13.344586979361209,145.3405528847691,32.9,29.9,992.8,353.5
356,2024-04-28 00:45:59.533719,13.34356928328273,145.34132813224917,32.6,29.9,992.8,353.5
356,2024-04-28 00:46:00.555464,13.292377927778126,145.3803118316193,32.9,30.0,992.8,353.5
357,2024-04-28 00:46:00.578471,13.291170759456278,145.38123083708524,32.6,29.0,992.8,353.5
357,2024-04-28 00:46:01.616316,13.239990775831517,145.42018148383855,32.8,29.8,992.8,353.5
358,2024-04-28 00:46:01.647299,13.238143672877442,145.42158678183853,32.8,29.8,992.8,353.5
358,2024-04-28 00:46:02.669397,13.186400662659393,145.46094095189198,33.2,30.1,992.8,353.5
359,2024-04-28 00:46:02.688598,13.185364755431179,145.4617285849815,33.2,30.1,992.8,353.5
359,2024-04-28 00:46:03.710793,13.13416781842842,145.50064321335114,33.2,30.1,992.8,353.5
360,2024-04-28 00:46:03.730048,13.133124786833708,145.50143577372444,33.2,30.1,992.8,353.5
360,2024-04-28 00:46:04.752013,13.08193038376554,145.54032450276046,33.6,30.0,992.8,353.5
361,2024-04-28 00:46:04.771681,13.080888253293844,145.54111589159828,33.6,30.0,992.8,353.5
361,2024-04-28 00:46:05.793509,13.029679213137129,145.5799918734241,32.7,29.9,992.8,353.5
362,2024-04-28 00:46:05.813447,13.028638988277459,145.58078133147336,33.0,29.9,992.8,353.5
362,2024-04-28 00:46:06.853164,12.977370831126139,145.6196783997318,32.7,29.7,992.8,353.5
363,2024-04-28 00:46:06.883293,12.975427325644027,145.62115247670008,33.0,30.4,992.8,353.6
363,2024-04-28 00:46:07.905680,12.923675885301972,145.66039177575917,33.1,30.0,992.8,353.6
364,2024-04-28 00:46:07.923952,12.92264574503089,145.6611726157847,33.1,30.0,992.8,353.6
364,2024-04-28 00:46:08.945476,12.871472139058506,145.69995017498053,32.9,30.1,992.8,353.6
365,2024-04-28 00:46:08.964082,12.870469559952017,145.7007096650426,32.9,30.1,992.8,353.6
365,2024-04-28 00:46:09.985808,12.819257975415365,145.73949262442386,33.0,30.1,992.8,353.6
366,2024-04-28 00:46:10.005678,12.818225281715367,145.74027445680116,33.0,30.1,992.8,353.6
366,2024-04-28 00:46:11.028158,12.766943399663443,145.77908731995225,33.0,29.8,992.8,353.6
367,2024-04-28 00:46:11.047470,12.765897504403071,145.7798786718907,33.0,29.8,992.8,353.6
367,2024-04-28 00:46:12.082567,12.714639589815881,145.81865017200408,33.0,30.0,992.8,353.6
368,2024-04-28 00:46:12.126362,12.712628954869556,145.8201705545949,33.2,30.1,992.8,353.7
368,2024-04-28 00:46:13.148218,12.660459275420308,145.85960756322746,32.8,30.0,992.8,353.7
369,2024-04-28 00:46:13.166393,12.659426741372991,145.86038785840256,32.8,30.0,992.8,353.7
369,2024-04-28 00:46:14.188721,12.608221818883894,145.89907242761913,33.7,30.1,992.8,353.7
370,2024-04-28 00:46:14.220168,12.607167339694067,145.89986883578084,33.7,30.1,992.8,353.7
370,2024-04-28 00:46:15.242075,12.5552865924823,145.93904070368038,33.3,29.9,992.8,353.7
371,2024-04-28 00:46:15.261890,12.554203328216277,145.93985836406947,33.3,29.9,992.8,353.7
371,2024-04-28 00:46:16.283643,12.50295356862176,145.97853091225318,33.4,29.9,992.8,353.7
372,2024-04-28 00:46:16.302540,12.501914120004153,145.97931503975028,33.4,29.9,992.8,353.7
372,2024-04-28 00:46:17.341901,12.450637735325726,146.01798503115978,33.0,30.0,992.8,353.7
373,2024-04-28 00:46:17.382709,12.448472816157553,146.01961721412795,33.1,30.6,992.8,353.7
373,2024-04-28 00:46:18.405286,12.396355763791957,146.058897609147,33.0,29.9,992.8,353.7
374,2024-04-28 00:46:18.422634,12.395312304800623,146.05968382741847,33.0,29.9,992.8,353.7
374,2024-04-28 00:46:19.444252,12.344103380363906,146.09825720992472,33.0,29.7,992.8,353.7
375,2024-04-28 00:46:19.463069,12.343082801735939,146.09902574394565,33.0,29.7,992.8,353.7
375,2024-04-28 00:46:20.484822,12.291803476691873,146.13762986758456,33.1,30.0,992.8,353.7
376,2024-04-28 00:46:20.504805,12.29071725226265,146.13844736381242,33.1,30.0,992.8,353.7
376,2024-04-28 00:46:21.525548,12.23944083554511,146.1770270814321,32.9,30.0,992.8,353.7
377,2024-04-28 00:46:21.546976,12.238435366587298,146.17778336662715,32.9,30.0,992.8,353.7
377,2024-04-28 00:46:22.587068,12.186993090743947,146.21646569907637,33.1,30.0,992.8,353.7
378,2024-04-28 00:46:22.621810,12.18474814103243,146.21815330830327,32.8,31.4,992.8,353.7
378,2024-04-28 00:46:23.643403,12.132969314037247,146.25706587518457,32.9,30.0,992.8,353.7
379,2024-04-28 00:46:23.661460,12.13192700669706,146.25784896016688,32.9,30.0,992.8,353.7
